
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 00:54:36 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 6355125 rows, 2500 columns and 19067500 nonzeros
Model fingerprint: 0xa749d85d
Variable types: 0 continuous, 2500 integer (2500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 8s) ...
Presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Presolve removed 0 rows and 0 columns (presolve time = 23s) ...
Presolve removed 0 rows and 0 columns (presolve time = 36s) ...
Presolve time: 35.77s
Presolved: 6355125 rows, 2500 columns, 19067500 nonzeros
Variable types: 0 continuous, 2500 integer (2500 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.2500000e+02   0.000000e+00   1.514600e+04     64s
     484    8.3605571e+01   0.000000e+00   4.523815e+06     65s
    1096    8.2620741e+01   0.000000e+00   1.303364e+06     70s
    1810    8.2486616e+01   0.000000e+00   3.156174e+06     75s
    2422    8.2331646e+01   0.000000e+00   1.946671e+06     81s
    3034    8.2027837e+01   0.000000e+00   1.029755e+06     86s
    3544    8.1808739e+01   0.000000e+00   1.006576e+06     90s
    4156    8.1664829e+01   0.000000e+00   2.508323e+06     95s
    4870    8.1568123e+01   0.000000e+00   7.258412e+06    100s
    5584    8.1278426e+01   0.000000e+00   3.219972e+06    106s
    6196    8.0883442e+01   0.000000e+00   3.760032e+05    110s
    7012    8.0182110e+01   0.000000e+00   1.829951e+06    115s
    7726    7.9567116e+01   0.000000e+00   8.158488e+05    120s
    8440    7.8720184e+01   0.000000e+00   3.288503e+05    125s
    9052    7.8291270e+01   0.000000e+00   5.253142e+06    130s
    9766    7.7912306e+01   0.000000e+00   7.263151e+05    136s
   10378    7.7610775e+01   0.000000e+00   1.435434e+06    141s
   10990    7.7294028e+01   0.000000e+00   4.684615e+05    145s
   11806    7.6415727e+01   0.000000e+00   3.077218e+05    150s
   12418    7.6116383e+01   0.000000e+00   2.918776e+06    155s
   13132    7.5645571e+01   0.000000e+00   6.730673e+05    161s
