
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 01:55:11 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 5513150 rows, 1500 columns and 16540500 nonzeros
Model fingerprint: 0x56bc56f8
Variable types: 0 continuous, 1500 integer (1500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 13.0000000
Presolve removed 0 rows and 0 columns (presolve time = 7s) ...
Presolve removed 0 rows and 0 columns (presolve time = 20s) ...
Presolve removed 0 rows and 0 columns (presolve time = 30s) ...
Presolve time: 29.98s
Presolved: 5513150 rows, 1500 columns, 16540500 nonzeros
Variable types: 0 continuous, 1500 integer (1500 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.5000000e+02   0.000000e+00   4.925800e+04     54s
     286    1.0168750e+02   0.000000e+00   1.848451e+05     55s
     826    1.0126750e+02   0.000000e+00   6.509731e+05     61s
    1366    1.0114820e+02   0.000000e+00   1.255555e+06     65s
    2122    1.0099275e+02   0.000000e+00   1.215761e+06     70s
    2662    1.0074419e+02   0.000000e+00   1.229850e+06     76s
    3094    1.0069440e+02   0.000000e+00   9.597411e+05     80s
    3634    1.0054996e+02   0.000000e+00   1.785015e+06     86s
    4390    1.0025877e+02   0.000000e+00   1.093346e+07     91s
    5038    9.9938675e+01   0.000000e+00   8.900182e+05     95s
    5686    9.9141668e+01   0.000000e+00   7.276895e+05    101s
    6334    9.8795964e+01   0.000000e+00   4.827054e+05    105s
    6766    9.8543380e+01   0.000000e+00   1.076269e+08    110s
    7522    9.8010727e+01   0.000000e+00   1.060351e+07    116s
    7846    9.7936336e+01   0.000000e+00   8.084515e+06    120s
    8602    9.7665324e+01   0.000000e+00   4.326742e+05    126s
    9034    9.7595762e+01   0.000000e+00   1.565860e+05    130s
    9466    9.7380419e+01   0.000000e+00   1.512691e+05    135s
   10006    9.7238265e+01   0.000000e+00   1.460004e+06    141s
   10330    9.6916136e+01   0.000000e+00   3.027421e+05    145s
   11086    9.6600426e+01   0.000000e+00   1.232514e+07    151s
   11518    9.6480879e+01   0.000000e+00   6.062222e+06    156s
   12058    9.6304504e+01   0.000000e+00   9.394186e+05    160s
   12598    9.6139073e+01   0.000000e+00   5.069343e+05    165s
   13354    9.5932954e+01   0.000000e+00   6.014628e+05    170s
   13894    9.5528735e+01   0.000000e+00   1.022258e+06    176s
   14326    9.5348799e+01   0.000000e+00   8.047218e+05    181s
   14974    9.4926425e+01   0.000000e+00   4.472985e+07    185s
   15406    9.4849990e+01   0.000000e+00   3.799867e+07    190s
   15946    9.4709483e+01   0.000000e+00   1.000878e+06    196s
   16486    9.4322514e+01   0.000000e+00   2.384511e+05    201s
   17026    9.4043235e+01   0.000000e+00   3.996118e+05    205s
   17674    9.3675661e+01   0.000000e+00   1.463613e+05    210s
   18430    9.3096638e+01   0.000000e+00   3.451304e+07    215s
   19078    9.2654057e+01   0.000000e+00   3.136326e+07    220s
   19942    9.2081713e+01   0.000000e+00   1.090197e+06    225s
   20590    9.1764810e+01   0.000000e+00   5.407435e+05    230s
   21346    9.1473810e+01   0.000000e+00   7.566563e+07    236s
   21886    9.1431072e+01   0.000000e+00   6.848200e+05    240s
   22426    9.1398096e+01   0.000000e+00   2.559571e+06    245s
   22966    9.1362945e+01   0.000000e+00   1.290065e+07    250s
   23398    9.1351787e+01   0.000000e+00   6.288317e+05    257s
   23938    9.1188140e+01   0.000000e+00   4.405997e+05    260s
   24586    9.1143542e+01   0.000000e+00   6.914389e+07    266s
   25234    9.1082081e+01   0.000000e+00   2.235390e+06    271s
