
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 02:25:28 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 8269650 rows, 2250 columns and 24810750 nonzeros
Model fingerprint: 0x3daf47ae
Variable types: 0 continuous, 2250 integer (2250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 0 rows and 0 columns (presolve time = 32s) ...
Presolve removed 0 rows and 0 columns (presolve time = 48s) ...
Presolve time: 48.25s
Presolved: 8269650 rows, 2250 columns, 24810750 nonzeros
Variable types: 0 continuous, 2250 integer (2250 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.5000000e+02   0.000000e+00   3.492600e+04     91s
    7949    9.4861708e+01   0.000000e+00   6.741940e+06     95s
   16100    9.4836024e+01   0.000000e+00   7.783593e+06    100s
   25111    9.4778681e+01   0.000000e+00   4.310957e+07    105s
   33262    9.4682851e+01   0.000000e+00   1.241632e+08    110s
   41418    9.4511512e+01   0.000000e+00   3.898279e+07    115s
   49998    9.4286695e+01   0.000000e+00   3.005614e+07    120s
   57722    9.4234402e+01   0.000000e+00   3.471148e+07    125s
   65444    9.4195439e+01   0.000000e+00   3.439067e+07    130s
   72737    9.4162602e+01   0.000000e+00   1.645440e+07    135s
   80459    9.4097452e+01   0.000000e+00   4.229006e+07    140s
   88181    9.4046161e+01   0.000000e+00   8.561508e+07    145s
   95903    9.4011624e+01   0.000000e+00   2.777152e+07    150s
  103625    9.3981426e+01   0.000000e+00   1.446284e+07    155s
  110918    9.3951855e+01   0.000000e+00   2.375203e+07    160s
  118640    9.3913127e+01   0.000000e+00   1.180658e+07    165s
  125933    9.3880862e+01   0.000000e+00   7.463862e+07    170s
  133655    9.3816703e+01   0.000000e+00   9.956572e+06    175s
  141806    9.3790338e+01   0.000000e+00   2.395990e+07    180s
  149528    9.3759905e+01   0.000000e+00   2.156363e+07    185s
  156821    9.3715987e+01   0.000000e+00   1.549985e+07    190s
  164543    9.3680306e+01   0.000000e+00   1.532028e+07    195s
  172290    9.3640994e+01   0.000000e+00   2.200029e+07    200s
  180018    9.3617111e+01   0.000000e+00   1.129239e+07    205s
  187319    9.3596163e+01   0.000000e+00   2.030237e+07    210s
  195470    9.3574775e+01   0.000000e+00   5.107869e+07    215s
  203622    9.3552562e+01   0.000000e+00   1.557358e+07    220s
